file_name,lake_path,zone,category,subcategory,project,manifest_id,file_format,extension,size_bytes,checksum,tags,created_at,status,version,source_reference
Electria Wind - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Electria Wind - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,328430,,,,,,
Nordex - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Nordex - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,411690,,,,,,
Nukus (Uzbekistan) - Wind farms - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Nukus (Uzbekistan) - Wind farms - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,285357,,,,,,
Sample_Power_curves.xls,Raw/Archives/wind farms/wind farms/Sample_Power_curves.xls,,,,,,XLS,xls,187904,,,,,,
Goldwind - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Goldwind - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,424442,,,,,,
Owners - Players - Online store and quote request - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Owners - Players - Online store and quote request - The Wind Power.mhtml,,,,,,MHTML,mhtml,371774,,,,,,
Guangdong Mingyang - Manufacturers and turbines - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Guangdong Mingyang - Manufacturers and turbines - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,432446,,,,,,
PNE - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/PNE - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,401915,,,,,,
Energiequelle - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/wind farms/Energiequelle - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,413517,,,,,,
sam-cashflow-sample-commercial-2022-11-21.xlsx,Raw/Archives/wind farms/wind farms/sam-cashflow-sample-commercial-2022-11-21.xlsx,,,,,,XLSX,xlsx,252836,,,,,,
._LuNeng - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/__MACOSX/wind farms/._LuNeng - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,318,,,,,,
._Mortenson - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/__MACOSX/wind farms/._Mortenson - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,318,,,,,,
._ABO-Wind - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/__MACOSX/wind farms/._ABO-Wind - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,318,,,,,,
._EDF renewables - Developers - Wind energy market players - Online access - The Wind Power.mhtml,Raw/Archives/wind farms/__MACOSX/wind farms/._EDF renewables - Developers - Wind energy market players - Online access - The Wind Power.mhtml,,,,,,MHTML,mhtml,318,,,,,,
