scenario,equity_irr,project_irr,equity_npv,project_npv,dscr_min,llcr_min,plcr_min
8473,0.1624729374233651,0.11091183185189646,13119533.264374752,10675298.178487247,1.3,1.6627194303917083,1.6627194303917083
8474,0.16915872207355753,0.11397577553138372,14447266.924742557,12817728.811887711,1.3,1.7051508099888495,1.7051508099888495
8475,0.18086053545634417,0.11908773292133756,16997865.692526437,16382046.401418986,1.2999999999999998,1.7707688903426808,1.7707688903426808
8476,0.26507891780903203,0.15547945605694435,38807184.12546668,43443881.31174686,1.3,2.251726999420018,2.251726999420018
8477,0.14300422312335548,0.10244372251356992,5682439.818307566,1999500.4895097911,1.3,1.5518035718030976,1.5518035718030976
8478,0.17206830205037282,0.11523931899515083,15379512.793914102,13991586.909281934,1.3,1.7207907556380717,1.7207907556380717
8479,0.13800981392785805,0.10016031869022002,5284586.826076946,159188.52877700469,1.2999999999999998,1.517306837618095,1.517306837618095
8480,0.18106306795296834,0.11901899057932708,19276237.691882506,18512205.640891153,1.3,1.7657447230732826,1.7657447230732826
8481,0.19650351278206846,0.1259653106489118,20354329.665774584,20881186.162391566,1.2999999999999998,1.85918627510007,1.85918627510007
8482,0.13846286211059744,0.10026012068203727,4670251.632091035,223229.21324019227,1.2999999999999998,1.5158826956854046,1.5158826956854046
8483,0.210904186406921,0.13233352541580778,26691446.163876228,28341728.66318831,1.3,1.9443668931169993,1.9443668931169993
8484,0.2056025740666243,0.12992617933122297,26877718.81289644,28201305.114089675,1.2999999999999998,1.9108375674151186,1.9108375674151186
8485,0.21808201631087143,0.13555916474813157,25727460.496184714,27678412.60759133,1.3,1.9880401641770151,1.9880401641770151
8486,0.14209195501871363,0.10198247085199941,5309822.609204194,1586962.9485225657,1.2999999999999998,1.543485180062604,1.543485180062604
8487,0.12339130849164981,0.09410430164709238,903842.1094282628,-5625671.639042135,1.2999999999999998,1.4355717521348168,1.4355717521348168
8488,0.2627240187531539,0.15468680083769049,44436078.75801856,49745678.94997357,1.2999999999999998,2.2453577008910486,2.2453577008910486
8489,0.17843604565536242,0.11804408703191105,17472532.541480783,16621108.442713879,1.2999999999999998,1.7578537324974295,1.7578537324974295
8490,0.20763854029269413,0.13093740443019053,28810317.303621296,30413161.92930052,1.3,1.9270916937003897,1.9270916937003897
8491,0.15683867044840327,0.10850920547952314,10862279.448763264,8019297.616629143,1.2999999999999998,1.6329353476678459,1.6329353476678459
8492,0.1528831309615848,0.10662342350323994,10115018.377691086,6602548.324859058,1.3,1.6038937605814463,1.6038937605814463
8493,0.19091852858113234,0.12352866695587572,20807745.675942764,20971508.678931307,1.2999999999999998,1.82746064737853,1.82746064737853
8494,0.19825379297111811,0.12671157607142058,22629240.025861923,23321213.861017756,1.3,1.8685857422448953,1.8685857422448953
8495,0.17874489050582043,0.11814841943320631,17526551.857992124,16686530.559956737,1.2999999999999998,1.7583770734992212,1.7583770734992212
8496,0.12703814739221553,0.0956058276060181,1738751.7870316163,-3820542.349055093,1.2999999999999998,1.4568700680518343,1.4568700680518343
8497,0.1759039552303021,0.1168788563305121,16491736.341245072,15410719.504811127,1.2999999999999998,1.7412510017298537,1.7412510017298537
8498,0.21792273555457964,0.13527721567120898,27666685.656337727,29682093.400724974,1.2999999999999998,1.979035365813449,1.979035365813449
8499,0.15524238398544998,0.10777849996413003,9379948.285822457,6646625.764118693,1.3,1.6222186993347865,1.6222186993347865
8500,0.17677575210378604,0.11725704164355166,16265887.217069685,15285337.119184157,1.2999999999999998,1.7460760579797507,1.7460760579797507
8501,0.16739969857036896,0.11286115496034554,12768477.187978193,10942504.042031376,1.3,1.6819350746231134,1.6819350746231134
8502,0.17341098802284471,0.11561372750783883,13724874.88889226,12514853.54355567,1.3,1.7200811384933536,1.7200811384933536
8503,0.16376421835147337,0.11147635560325964,11841818.861224115,9812608.035364326,1.3,1.6699519781984316,1.6699519781984316
8504,0.14134846097918818,0.10162482319647359,5889210.5648053475,1498527.6377242568,1.2999999999999998,1.5375738484714734,1.5375738484714734
8505,0.282741171633651,0.1626087011574231,42281900.222410865,47637937.40436573,1.2999999999999998,2.3466082484255084,2.3466082484255084
8506,0.12604515932128169,0.09517894630946899,1445268.103652683,-4078406.0423154235,1.3,1.450387766406787,1.450387766406787
